Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
2122,267,4,82.15,2,3,3,233,8,REGULARS
3544,270,5,82.1,2,4,3,243,9,LOYAL
3704,93,5,82.1,3,4,3,343,10,LOYAL
2754,242,3,82.1,2,2,3,223,7,REGULARS
1851,172,4,82.0,2,3,3,233,8,REGULARS
1315,53,3,82.0,4,2,3,423,9,ACTIVE
1303,113,5,82.0,3,4,3,343,10,LOYAL
1696,87,6,81.95,3,4,3,343,10,LOYAL
4398,51,5,81.9,4,4,3,443,11,LOYAL
2269,101,3,81.9,3,2,3,323,8,REGULARS
1804,30,3,81.9,4,2,3,423,9,ACTIVE
1993,175,3,81.9,2,2,3,223,7,REGULARS
4772,376,4,81.85,1,3,3,133,7,LOST
3171,439,1,81.8,1,1,3,113,5,LOST
4690,375,4,81.7,1,3,3,133,7,LOST
3357,205,3,81.7,2,2,3,223,7,REGULARS
2068,206,5,81.65,2,4,3,243,9,LOYAL
2973,382,5,81.6,1,4,3,143,8,LOYAL
2139,258,5,81.6,2,4,3,243,9,LOYAL
2416,55,3,81.6,4,2,3,423,9,ACTIVE
4761,113,4,81.55,3,3,3,333,9,REGULARS
3419,25,3,81.55,4,2,3,423,9,ACTIVE
2240,29,5,81.54,4,4,3,443,11,LOYAL
4638,422,4,81.52,1,3,3,133,7,LOST
1638,293,2,81.5,1,1,3,113,5,LOST
2110,154,3,81.5,2,2,3,223,7,REGULARS
1520,307,3,81.5,1,2,3,123,6,LOST
3850,118,4,81.5,3,3,3,333,9,REGULARS
3375,248,3,81.5,2,2,3,223,7,REGULARS
3456,111,5,81.5,3,4,3,343,10,LOYAL
3590,214,6,81.42,2,4,3,243,9,LOYAL
1800,152,4,81.4,2,3,3,233,8,REGULARS
3273,95,3,81.4,3,2,3,323,8,REGULARS
4367,45,5,81.31,4,4,3,443,11,LOYAL
3609,18,5,81.3,4,4,3,443,11,LOYAL
2404,76,5,81.3,3,4,3,343,10,LOYAL
2724,244,2,81.2,2,1,3,213,6,REGULARS
3479,281,4,81.2,1,3,3,133,7,LOST
4306,2,4,81.15,4,3,3,433,10,ACTIVE
2989,334,4,81.1,1,3,3,133,7,LOST
1142,200,4,81.0,2,3,3,233,8,REGULARS
4894,7,3,81.0,4,2,3,423,9,ACTIVE
4461,320,4,81.0,1,3,3,133,7,LOST
4471,305,4,81.0,1,3,3,133,7,LOST
1141,380,4,80.8,1,3,3,133,7,LOST
1833,159,4,80.8,2,3,3,233,8,REGULARS
3735,32,4,80.7,4,3,3,433,10,ACTIVE
